wave,flux,uncertainty
0.79933393,2.706443e-13,5.1595416e-14
0.7997498,3.5057715e-14,1.7617021e-13
0.8001641,-8.7799354e-16,6.3218257e-14
0.8005769,2.7580385e-13,5.481261e-14
0.8009882,-2.1661034e-13,5.781261e-14
0.8013979,2.3067195e-13,4.7450105e-14
0.8018061,1.681821e-13,4.8301925e-14
0.8022127,1.1969713e-13,4.8567002e-14
0.8026179,5.1618963e-13,6.183036e-14
0.8030216,1.00274884e-13,5.45198e-14
0.8034237,2.4483077e-13,5.5080554e-14
0.80382437,1.3904597e-14,5.583632e-14
0.80422354,-6.0122216e-14,5.5195184e-14
0.8046212,-8.115149e-14,5.4181106e-14
0.8050174,3.4166683e-13,5.714893e-14
0.8054121,6.091815e-13,5.666302e-14
0.8058054,6.421813e-13,5.840904e-14
0.80619717,-3.1440643e-13,5.707936e-14
0.8065875,5.858704e-13,5.925606e-14
0.8069764,2.9224893e-14,6.2731e-14
0.80736375,1.2995548e-13,8.1515456e-14
0.8077498,-2.9036514e-13,6.2585564e-14
0.8081343,-3.324565e-13,5.8701165e-14
0.80851746,-1.02302606e-13,5.834622e-14
0.80889916,2.007269e-13,5.8635585e-14
0.80927944,2.1082241e-13,5.771451e-14
0.8096583,-4.629684e-14,5.939026e-14
0.81003577,-6.296832e-14,5.7846184e-14
0.8104119,-2.9996562e-13,6.300895e-14
0.81078655,2.0242029e-13,5.976493e-14
0.8111598,-2.8681845e-13,5.810381e-14
0.81153166,1.8355925e-13,5.542297e-14
0.8119022,5.529827e-13,5.923216e-14
0.81227136,1.657416e-13,6.028033e-14
0.8126391,1.6954381e-13,6.0098024e-14
0.8130055,-2.9173972e-13,7.867423e-14
0.8133706,1.8258098e-14,6.0121606e-14
0.81373435,2.6305435e-14,6.4736614e-14
0.8140967,-1.7337328e-13,6.238094e-14
0.8144577,-3.5081635e-13,6.4778356e-14
0.81481737,-9.072867e-14,6.312347e-14
0.8151758,1.7063565e-14,6.4424506e-14
0.8155328,1.0509418e-14,6.2499254e-14
0.8158886,2.8935523e-14,6.435171e-14
0.816243,-5.8943966e-14,6.5695394e-14
0.8165961,1.2713593e-13,6.551106e-14
0.8169479,-1.1277244e-13,6.495762e-14
0.8172984,2.8229025e-13,6.817543e-14
0.81764764,5.1952857e-14,6.472589e-14
0.81799567,2.615546e-14,6.299235e-14
0.8183423,-2.364568e-13,6.4991374e-14
0.81868774,-6.8294146e-14,6.665706e-14
0.8190319,-1.3728697e-14,6.450652e-14
0.8193748,3.3390757e-13,7.175348e-14
0.8197164,-1.7248557e-13,6.719895e-14
0.82005686,7.479978e-14,6.379879e-14
0.8203959,8.253506e-15,6.3143996e-14
0.8207339,1.3254058e-13,6.3851336e-14
0.8210705,-1.0056242e-13,6.572271e-14
0.82140595,-2.3333438e-13,5.9243056e-14
0.8217402,-1.5674224e-13,5.937127e-14
0.8220732,8.973333e-14,5.705698e-14
0.8224051,-3.290519e-14,5.7337456e-14
0.82273567,-5.5968776e-14,6.212665e-14
0.82306516,3.174351e-13,6.218307e-14
0.82339334,-1.3536408e-14,6.1689606e-14
0.82372034,-1.8227368e-14,6.194975e-14
0.8240462,-1.6898553e-13,5.955099e-14
0.8243709,-6.353853e-14,7.4399424e-14
0.82469445,-4.9166644e-14,6.2485024e-14
0.8250168,6.9548967e-13,6.6908196e-14
0.825338,3.4950723e-13,8.445344e-14
0.825658,-1.9385669e-13,6.258069e-14
0.82597697,2.541675e-13,6.2966966e-14
0.8262947,-1.874526e-13,6.107895e-14
0.82661134,-2.5634678e-13,5.973298e-14
0.8269268,5.832306e-13,6.0663836e-14
0.8272412,3.094337e-13,6.176181e-14
0.82755446,1.8357837e-13,6.072879e-14
0.8278667,-1.7678918e-13,6.374876e-14
0.82817775,6.265441e-14,6.2738334e-14
0.8284877,-5.181694e-13,6.31543e-14
0.8287965,2.2802698e-14,6.1780123e-14
0.8291043,-9.836592e-15,8.008457e-14
0.8294109,-1.3304338e-13,6.259113e-14
0.8297166,-1.1843711e-13,6.170475e-14
0.8300211,9.011233e-14,6.114786e-14
0.8303246,2.992744e-13,6.066538e-14
0.83062696,9.674011e-14,6.19888e-14
0.8309283,-1.12283263e-13,6.201019e-14
0.8312286,-3.5881346e-14,6.2234634e-14
0.83152795,1.559861e-13,8.75313e-14
0.83182615,2.3069264e-13,6.3470456e-14
0.83212334,-3.9803776e-14,6.3676156e-14
0.8324195,-1.3434424e-13,6.5555566e-14
0.8327147,2.7250714e-13,6.601941e-14
0.83300877,1.2242257e-13,7.120137e-14
0.83330196,-1.3073493e-13,6.822049e-14
0.833594,-4.370897e-13,7.2253184e-14
0.83388513,2.0735094e-13,7.5777024e-14
0.8341753,-2.2283237e-13,7.450277e-14
0.83446443,-2.210854e-13,7.159626e-14
0.8347526,4.5209106e-14,6.706502e-14
0.83503985,1.2837923e-13,6.714103e-14
0.8353261,-8.327679e-15,6.5981705e-14
0.83561134,5.7803896e-15,6.5213446e-14
0.8358956,-1.7422263e-13,6.522116e-14
0.836179,2.3761413e-13,6.074971e-14
0.8364614,1.2179518e-13,6.021889e-14
0.8367429,3.394156e-13,6.3640973e-14
0.83702344,9.340179e-14,5.9912605e-14
0.83730304,-1.612932e-13,5.9604326e-14
0.83758163,6.8443915e-14,6.1134495e-14
0.83785945,2.026728e-13,5.756961e-14
0.8381363,6.1278856e-14,7.145211e-14
0.8384122,-1.6035957e-13,6.4621865e-14
0.8386873,1.5277345e-13,5.890396e-14
0.8389614,-1.7372303e-13,5.6946316e-14
0.83923465,8.468794e-14,5.5836974e-14
0.83950704,1.2475281e-13,5.73543e-14
0.83977854,-1.2551199e-13,5.9104495e-14
0.8400492,-2.2182973e-13,6.312151e-14
0.8403189,4.8729656e-13,6.394055e-14
0.8405878,-1.2122647e-13,6.555771e-14
0.84085584,3.998591e-14,6.913527e-14
0.84112304,1.381204e-13,7.184009e-14
0.8413895,1.8849355e-13,7.4063145e-14
0.8416549,-4.7343365e-14,7.2674485e-14
0.8419196,2.8747295e-13,7.484798e-14
0.8421834,3.103145e-13,7.231971e-14
0.8424465,1.8490216e-13,7.002355e-14
0.8427087,9.5176254e-14,7.106106e-14
0.84297013,-1.988265e-13,8.2040216e-14
0.84323066,-5.702691e-14,6.961646e-14
0.84349054,7.4219595e-14,6.5061475e-14
0.8437495,1.436405e-13,6.504973e-14
0.84400773,2.2973886e-13,6.984168e-14
0.84426516,-3.08206e-14,6.453501e-14
0.84452176,-2.0922481e-13,6.4199785e-14
0.84477776,-1.6840107e-13,6.341796e-14
0.8450328,1.1926175e-13,6.2559726e-14
0.8452872,6.951883e-14,6.169572e-14
0.8455408,-2.5066237e-13,6.052526e-14
0.8457937,-5.1559512e-14,5.7390575e-14
0.8460458,-8.219134e-14,5.819788e-14
0.84629726,-3.2540705e-14,5.947432e-14
0.84654784,8.737423e-14,6.767197e-14
0.8467978,-1.2441025e-13,6.054217e-14
0.8470471,2.5708876e-13,7.386182e-14
0.8472955,4.1075548e-14,6.10324e-14
0.84754336,1.639471e-13,6.2357874e-14
0.8477904,9.187155e-14,6.38427e-14
0.8480368,-2.7075356e-14,6.1746066e-14
0.8482825,-3.6965645e-13,6.199581e-14
0.84852755,5.4218362e-14,6.1284135e-14
0.848772,1.3878604e-13,6.1207644e-14
0.84901565,-1.4352393e-13,5.9853815e-14
0.8492586,-4.9188315e-14,5.698079e-14
0.84950095,-1.01363294e-13,5.750484e-14
0.84974265,-2.0979178e-13,5.6195452e-14
0.8499837,1.5076033e-14,5.701528e-14
0.850224,-3.1535355e-14,5.779244e-14
0.85046387,5.816583e-15,5.825297e-14
0.85070294,-1.452594e-13,6.077179e-14
0.8509414,-2.1880276e-14,6.195903e-14
0.8511793,2.7063218e-13,6.318692e-14
0.8514165,1.2247197e-13,6.1910316e-14
0.8516532,-2.356158e-14,6.2833677e-14
0.85188925,-7.7990335e-14,6.184052e-14
0.85212463,9.64e-14,6.1402984e-14
0.8523595,-1.846848e-13,6.8658377e-14
0.8525938,6.631007e-14,5.863235e-14
0.8528274,-3.055359e-14,6.083946e-14
0.85306054,3.8166613e-13,5.915739e-14
0.85329306,2.2266564e-13,5.64489e-14
0.853525,-1.5333919e-13,5.789423e-14
