wave,flux,unc
0.852054,4.027467662711844e-11,5.6643338177158e-13
0.855188,4.499460518737765e-11,5.783855357358861e-13
0.858341,5.046528558764356e-11,5.948744187206913e-13
0.861514,5.2715274140002754e-11,5.988352577337786e-13
0.864706,5.440963097082191e-11,5.982401409177583e-13
0.867918,5.557645410346064e-11,5.849105792600474e-13
0.871149,5.6068003573699125e-11,5.729944941791014e-13
0.874399,6.207069341621419e-11,5.934565604116074e-13
0.877668,7.053459257517276e-11,6.209812721277864e-13
0.880956,7.800039846487378e-11,6.44244054486965e-13
0.884263,7.779489609777517e-11,6.433959130949511e-13
0.887589,7.023707720083345e-11,6.177732364055793e-13
0.890934,7.265040299484121e-11,6.314701214946344e-13
0.894297,7.665777125421833e-11,6.524709126437562e-13
0.897679,8.075595398189954e-11,6.928435450786982e-13
0.901079,8.89035386048329e-11,8.114042563542048e-13
0.904498,9.400617991064564e-11,9.085948664145194e-13
0.907934,9.975380080264962e-11,9.307259396777013e-13
0.911389,1.0648922996962303e-10,9.979190487719723e-13
0.914861,1.1213257391454271e-10,1.0762583722093444e-12
0.918351,1.1579683225188696e-10,1.1007338112964594e-12
0.921859,1.1007673454158592e-10,1.0398523983724133e-12
0.925385,1.0458153731667204e-10,9.79138684895651e-13
0.928927,1.0254504854431435e-10,1.0171607691638202e-12
0.932487,1.0169960873432111e-10,1.1381893155721928e-12
0.936064,1.0449173200958653e-10,1.2121928222321385e-12
0.939658,1.0587926434566622e-10,1.1802271867255581e-12
0.943268,1.0712696528576452e-10,1.2183250685140707e-12
0.946895,1.1243422698593725e-10,1.2556106061650297e-12
0.950538,1.1808876577846216e-10,1.2556133796405849e-12
0.954198,1.206083655383046e-10,1.0545057895735066e-12
0.957873,1.1883675752363638e-10,9.084539547854679e-13
0.961565,1.178349505334054e-10,8.891532871996595e-13
0.965272,1.2074684423154412e-10,8.580427687749648e-13
0.968995,1.2473831694893295e-10,8.424978420050825e-13
0.972733,1.2452406269346336e-10,8.408237313507626e-13
0.976486,1.238598381025698e-10,8.274478358952189e-13
0.980254,1.273984465883504e-10,8.164588086883218e-13
0.984037,1.29120707251534e-10,8.209110437926292e-13
0.987834,1.2033078011921079e-10,7.929962051525163e-13
0.991646,1.049069036377597e-10,7.258868466130992e-13
0.995473,1.0640002147647526e-10,7.125918742658476e-13
0.999313,1.1522666156773939e-10,7.253426471263009e-13
1.00317,1.1645914042472664e-10,7.158008306501215e-13
1.00703,1.215421646616172e-10,7.12505224964162e-13
1.01092,1.2819777967459758e-10,7.25023640316967e-13
1.01481,1.2754764568393345e-10,7.19464710256632e-13
1.01872,1.2753350615169745e-10,7.170093330535637e-13
1.02264,1.2746737019490078e-10,7.056425456809901e-13
1.02657,1.262894099714004e-10,6.964032378782824e-13
1.03052,1.286991521382179e-10,6.933553006434015e-13
1.03447,1.3290959664405222e-10,6.954539339225451e-13
1.03844,1.363737204983669e-10,7.089253243182377e-13
1.04242,1.4117508847265822e-10,7.105602844543533e-13
1.04642,1.3960938059889544e-10,7.206150422700916e-13
1.05042,1.3420119323658148e-10,7.301259168014295e-13
1.05444,1.313275244424508e-10,7.176219925574755e-13
1.05846,1.286302555513343e-10,7.154285190444859e-13
1.0625,1.327147371374043e-10,7.228785024900727e-13
1.06655,1.379089673165261e-10,7.304105515986542e-13
1.07061,1.411092639609928e-10,7.665712579926724e-13
1.07467,1.4622897901456823e-10,8.022277862020156e-13
1.07875,1.4781039521282052e-10,7.879848030343133e-13
1.08284,1.4911448800335902e-10,7.982013655265347e-13
1.08694,1.5284803309508805e-10,8.222625681700825e-13
1.09105,1.5485321056011526e-10,8.367264524906056e-13
1.09516,1.559513113230996e-10,8.704932737883854e-13
1.09929,1.5481223002292812e-10,8.128736085083751e-13
1.10342,1.4754302991995005e-10,7.353039371359974e-13
1.10756,1.4400116042087352e-10,7.19597034649191e-13
1.11171,1.4667768313218852e-10,7.404174952589527e-13
1.11587,1.4625759338951433e-10,7.834324299652704e-13
1.12004,1.456500318812776e-10,8.323662660243723e-13
1.12421,1.487848421150866e-10,9.482766522813451e-13
1.12839,1.4979563921258626e-10,1.0275857251035036e-12
1.13258,1.4664405056976704e-10,1.0487649153881529e-12
1.13677,1.2351457904686046e-10,9.213033666851583e-13
1.14098,1.230007961000331e-10,8.288697650080115e-13
1.14518,1.4289256958054597e-10,8.768972348576242e-13
1.1494,1.4959723025071094e-10,8.556496647120256e-13
1.15362,1.50136592626069e-10,8.240265504686881e-13
1.15785,1.4852861881124564e-10,7.859278241978287e-13
1.16208,1.478555364537507e-10,7.504042521244243e-13
1.16632,1.378183325863603e-10,6.945595054569935e-13
1.17056,1.3821987676203414e-10,6.748281851220444e-13
1.17481,1.2968011867462324e-10,6.42071919728778e-13
1.17907,1.280488207642645e-10,6.267068552919251e-13
1.18333,1.4228904760714967e-10,6.428674116149502e-13
1.18759,1.4071813905671732e-10,6.239457318384572e-13
1.19186,1.3934313492501705e-10,6.195599413206524e-13
1.19613,1.343820123873988e-10,6.264661760560773e-13
1.20041,1.3175123589883659e-10,6.376223486902926e-13
1.20469,1.389321610022398e-10,6.413402628346597e-13
1.20897,1.4009237877095786e-10,6.295324002203839e-13
1.21326,1.4137641555473496e-10,6.281375841864109e-13
1.21755,1.4714024370504136e-10,6.327684771176408e-13
1.22184,1.4764291721721142e-10,6.289008875931303e-13
1.22614,1.479717835619519e-10,6.27202327254368e-13
1.23043,1.4725573860202133e-10,6.264053697136446e-13
1.23474,1.460300953929254e-10,6.242258787675397e-13
1.23904,1.397287563306847e-10,6.004964973506558e-13
1.24335,1.3214087727325591e-10,5.651405611802878e-13
1.24765,1.3586141260353284e-10,5.68700798363253e-13
1.25196,1.3351316678642818e-10,5.73641612802165e-13
1.25627,1.3605991317267076e-10,5.921113032602988e-13
1.26059,1.460937057692492e-10,6.494619617917786e-13
1.2649,1.4704279248705966e-10,7.013139275754395e-13
1.26921,1.4776533072935604e-10,7.427227148727628e-13
1.27353,1.4902992898555164e-10,7.363823707080875e-13
1.27785,1.4942660606288187e-10,7.174799682560852e-13
1.28216,1.487627043029518e-10,6.969990476168998e-13
1.28648,1.4797063082549861e-10,6.720975370929775e-13
1.2908,1.487361280566076e-10,6.555763042659609e-13
1.29512,1.4969884835108287e-10,6.435527304379337e-13
1.29944,1.4901278961764833e-10,6.438091918109238e-13
1.30375,1.4899390452929685e-10,6.52150611666145e-13
1.30807,1.484350565546906e-10,6.611371415344384e-13
1.31239,1.4422679434006395e-10,6.654113062471893e-13
1.31671,1.4551248113362498e-10,6.745903249394109e-13
1.32102,1.4814492314280795e-10,6.864186992497383e-13
1.32534,1.452216906895219e-10,6.884133289324648e-13
1.32965,1.3631683814043203e-10,6.874555839116726e-13
1.33396,1.1621548399781921e-10,6.491917398426827e-13
1.33827,1.0719829657344455e-10,6.277024025729941e-13
1.34258,1.0630213546873743e-10,6.669188181839696e-13
1.34689,1.0278910909064757e-10,7.641599115180653e-13
1.3512,9.941889247092315e-11,9.320774162950975e-13
1.3555,9.734156056350841e-11,1.1406948577701964e-12
1.3598,1.0287240819653266e-10,1.5262255646360985e-12
1.3641,1.0620476277823259e-10,1.9443155765439845e-12
1.3684,1.0320669899211451e-10,2.025078835855588e-12
1.37269,9.638792965302079e-11,1.2014668994439744e-12
1.37699,9.793981006608517e-11,9.630478973818298e-13
1.38128,1.0132697390218916e-10,1.238989716441996e-12
1.38556,1.0360650474644699e-10,1.2870319883097187e-12
1.38985,9.918151074972072e-11,9.420034390389667e-13
1.39413,9.542713050084649e-11,9.449972290386414e-13
1.39841,9.22964819489543e-11,1.0064001435607181e-12
1.40268,9.218627873496533e-11,8.955561470713264e-13
1.40695,9.206856054124854e-11,8.356532383919616e-13
1.41122,8.805441265153924e-11,7.544318052750048e-13
1.41549,8.637355309545742e-11,6.656309841069731e-13
1.41975,8.703434219121238e-11,6.095379105090414e-13
1.424,8.498124741421115e-11,5.448202293576321e-13
1.42826,8.382023526813084e-11,5.261286593662187e-13
1.43251,8.369330023698809e-11,5.413796362026076e-13
1.43675,8.422242866000048e-11,5.272973326327023e-13
1.44099,8.636361055748015e-11,5.019275214825796e-13
1.44523,8.608759639450263e-11,4.880380734576456e-13
1.44946,8.660789597240737e-11,5.081515641017639e-13
1.45369,8.663067078961767e-11,4.720598190778442e-13
1.45791,8.771465481754763e-11,4.346322730637194e-13
1.46213,8.809482419997364e-11,4.26457600088456e-13
1.46634,8.553086194726366e-11,4.3067946646703526e-13
1.47055,8.455126971690156e-11,4.4011536104468607e-13
1.47476,8.498594696156372e-11,4.2036951369040244e-13
1.47896,8.414146966652238e-11,4.1871543210291156e-13
1.48315,8.542438357309159e-11,4.2211184787228887e-13
1.48734,8.70024586341487e-11,4.128548409794191e-13
1.49152,8.694287369326692e-11,3.9420527239954115e-13
1.4957,8.836930058555075e-11,3.693865021310905e-13
1.49988,8.88796217753222e-11,3.573028389654611e-13
1.50404,8.90828974054344e-11,3.8664851788460204e-13
1.50821,9.04856276048973e-11,3.9188808867359134e-13
1.51237,9.091775302256723e-11,3.5404304849676213e-13
1.51652,8.83541119698459e-11,3.533746367913031e-13
1.52066,9.00177674072038e-11,3.753038863737116e-13
1.5248,9.26153874137397e-11,3.7972187344837214e-13
1.52894,9.178491607604916e-11,3.6957408849229346e-13
1.53307,9.298051794749057e-11,3.7254216875670144e-13
1.53719,9.335399129643786e-11,3.6498001649258396e-13
1.54131,9.291332967379434e-11,3.7023979685679443e-13
1.54542,9.406491948627797e-11,3.707292502192984e-13
1.54953,9.558978699716476e-11,3.6811826496743863e-13
1.55363,9.569579497929429e-11,3.734852019648053e-13
1.55772,9.540170491862819e-11,3.6684070831614655e-13
1.56181,9.639806614845516e-11,3.692975694319924e-13
1.56589,9.775602005848189e-11,3.6971128742954297e-13
1.56997,9.810306190122198e-11,3.668274278436136e-13
1.57404,9.883540550327976e-11,3.734752940035079e-13
1.5781,9.947288226923476e-11,3.7785527088443194e-13
1.58216,9.885706185065872e-11,4.064829086732683e-13
1.58621,9.95408088204184e-11,4.130669714684032e-13
1.59025,1.002040322235231e-10,3.8526896818395683e-13
1.59429,1.0017248723227633e-10,3.8168835343675634e-13
1.59832,1.006368147713677e-10,3.816305718000772e-13
1.60235,1.0068037954403926e-10,3.888570616878616e-13
1.60636,1.0170281795378437e-10,3.9612048152498475e-13
1.61038,1.0150088729926804e-10,3.9913806444069526e-13
1.61438,1.007835135327869e-10,3.8260402121134604e-13
1.61838,1.0070864711533374e-10,3.6852994421832056e-13
1.62238,9.934898705085942e-11,3.7910819219508155e-13
1.62636,9.85599519031635e-11,3.785549579934584e-13
1.63034,1.0008740944910631e-10,3.774196956816599e-13
1.63432,1.0194210706470173e-10,3.89852292253989e-13
1.63828,1.0163864318641262e-10,3.949077165025124e-13
1.64225,1.024881174811103e-10,4.0027782879038445e-13
1.6462,1.0338501828595235e-10,4.0287192083423607e-13
1.65015,1.0345135100151123e-10,3.997030466349058e-13
1.65409,1.0389456207439622e-10,3.96779399300346e-13
1.65802,1.0246269307532995e-10,3.9028489847928386e-13
1.66195,1.0361285267797736e-10,3.9061925000993695e-13
1.66587,1.0321540935300707e-10,4.0525883047299267e-13
1.66979,1.0141045937081088e-10,4.2448287492505616e-13
1.67369,1.0260856464312447e-10,4.156771246368573e-13
1.6776,1.0379753825924465e-10,4.083572926926531e-13
1.68149,1.0446838744929611e-10,4.179584292950364e-13
1.68538,1.0296445148236545e-10,4.1499245221284363e-13
1.68926,1.0201257877237122e-10,4.235153808713927e-13
1.69314,1.0186587047769149e-10,4.3271894842608375e-13
1.69701,1.0100019280330595e-10,4.203355625940613e-13
1.70087,1.0053010189625835e-10,4.297772606279795e-13
1.70472,9.921815748101381e-11,4.3132591113216073e-13
1.70857,9.775455982972773e-11,4.2777357157181785e-13
1.71242,9.594251587177122e-11,4.262898634993186e-13
1.71625,9.223018176424505e-11,4.1207988895349395e-13
1.72008,9.123799106074788e-11,4.131895142384191e-13
1.72391,9.075467563793879e-11,4.2688397972210054e-13
1.72772,8.983317127260621e-11,4.247570262801022e-13
1.73153,8.843823411069524e-11,4.2515209663198173e-13
1.73534,8.645490892289062e-11,4.372307423059858e-13
1.73913,8.520105204435679e-11,4.342817940164439e-13
1.74293,8.465375247990625e-11,4.317476658350077e-13
1.74671,8.406919355623536e-11,4.3022596239818854e-13
1.75049,8.150764490623457e-11,4.2099917920889e-13
1.75426,7.91600154968709e-11,4.1464493075701016e-13
1.75803,7.815879045925023e-11,4.087710067787118e-13
1.76179,7.729366611041718e-11,4.213145123717801e-13
1.76554,7.522249589777573e-11,4.49605643219473e-13
1.76929,7.429065425110596e-11,4.4007200134377314e-13
1.77303,7.320069286236659e-11,4.2946917901516374e-13
1.77676,7.164863362206554e-11,4.3093471152924424e-13
1.78049,7.178871460710462e-11,4.408934582080044e-13
1.78421,6.908644650027268e-11,4.517836369233337e-13
1.78793,6.736835969487794e-11,4.608818410150789e-13
1.79164,6.722288947611765e-11,4.576302360839332e-13
1.79534,6.734601341325643e-11,4.632574585896947e-13
1.79904,6.59279262441582e-11,5.233944082368282e-13
1.80273,6.330514971924609e-11,5.466048114718943e-13
1.80641,6.469407340992447e-11,5.29719661605651e-13
1.81009,6.309298650985975e-11,5.961268231190077e-13
1.81377,6.480176742393861e-11,6.489745864418751e-13
1.81744,6.410705905499686e-11,6.386723022889396e-13
1.8211,6.40305936608151e-11,6.883639377580361e-13
1.82475,6.535057186188169e-11,7.279664479359017e-13
1.8284,6.494136343295347e-11,8.65017410987213e-13
1.83205,6.490272078940533e-11,6.111932022092432e-13
1.83568,6.371095357812588e-11,7.100202518612893e-13
1.83932,6.1980896487901e-11,8.869961603858539e-13
1.84294,5.7903778999328205e-11,5.573662027195432e-13
1.84657,5.73362991606923e-11,5.725814257703194e-13
1.85018,6.149918460894918e-11,6.7414104985225e-13
1.85379,6.047074335675442e-11,5.805471168904918e-13
1.85739,5.3744990252051676e-11,6.077892426204117e-13
1.86099,5.402624997362108e-11,4.773321567423406e-13
1.86459,5.621296319329504e-11,4.1217002987231183e-13
1.86817,5.687009681793196e-11,5.627011546001643e-13
1.87175,5.806533317150375e-11,1.188676254242618e-12
1.87533,5.348261041048117e-11,7.823917890553786e-13
1.8789,5.413795236620157e-11,4.3954503326832583e-13
1.88247,5.6528332967959655e-11,3.810364419498193e-13
1.88603,5.7395076724693004e-11,3.4720406703492764e-13
1.88958,5.7103237254709315e-11,3.682059625311341e-13
1.89313,5.564536599137146e-11,3.86430459529322e-13
1.89667,5.624324032518368e-11,3.779402911711383e-13
1.90021,5.8165239661976685e-11,5.093495518109352e-13
1.90374,5.946055278445786e-11,5.714822091897674e-13
1.90727,5.86199605971996e-11,4.296981287346992e-13
1.9108,5.7206532257107946e-11,4.0222227347007986e-13
1.91431,5.70070978889476e-11,4.662395890878822e-13
1.91782,5.844688492335106e-11,3.720512678354664e-13
1.92133,5.85830193558996e-11,3.411434163106541e-13
1.92483,5.677383955268575e-11,3.223499824598823e-13
1.92833,5.426935005335901e-11,3.181875279651644e-13
1.93182,5.3265877606120535e-11,2.8848300930735937e-13
1.93531,5.5678837898141196e-11,2.7483121466062913e-13
1.93879,5.5005741841445293e-11,2.842821123071491e-13
1.94227,5.2277413385548747e-11,2.6406881552763566e-13
1.94574,5.029046277503155e-11,2.434819522280249e-13
1.94921,5.1071499665873e-11,2.454777396432373e-13
1.95267,5.2545224432002194e-11,2.684118968614538e-13
1.95613,5.5199221348667624e-11,3.0560324763130237e-13
1.95958,5.4899008674664135e-11,2.762049135950554e-13
1.96302,5.361419991865199e-11,2.590904985141666e-13
1.96647,5.369396026374179e-11,2.52711259280176e-13
1.9699,5.383641796592236e-11,2.3557984546433404e-13
1.97334,5.129876319780619e-11,2.1556248728342536e-13
1.97676,4.6748562428477163e-11,1.9864789247565702e-13
1.98019,4.682081817744349e-11,1.8829376172700679e-13
1.98361,4.896070666770428e-11,1.8636662769308585e-13
1.98702,4.863923842370677e-11,1.8546957362775113e-13
1.99043,4.8923877309839174e-11,1.9000632897847242e-13
1.99383,5.02173061066068e-11,1.9995443753101994e-13
1.99723,5.06517849925193e-11,2.225519361295259e-13
2.00063,4.929103796227318e-11,3.0840978246326754e-13
2.00402,5.05654641665375e-11,3.674945538933001e-13
2.0074,4.9883000736907193e-11,2.8091037858797616e-13
2.01078,4.943150719871384e-11,2.630580633655966e-13
2.01416,5.0006992484729266e-11,2.72604249037448e-13
2.01753,4.8478119987624316e-11,2.5208388078341393e-13
2.0209,4.955655991223424e-11,2.278269553375718e-13
2.02426,4.991182497973806e-11,2.0594708196812987e-13
2.02762,4.883035822301668e-11,2.0019741450127579e-13
2.03097,5.033793502802771e-11,1.960994810216585e-13
2.03432,5.056002859972889e-11,1.9237235721256842e-13
2.03766,4.9468053422980834e-11,1.8740756579748416e-13
2.041,4.99601781296398e-11,1.9853939966356843e-13
2.04434,4.966959986660221e-11,1.951409813806581e-13
2.04767,4.9212231259327015e-11,1.9542331347612768e-13
2.051,4.974053302264761e-11,2.125651100806446e-13
2.05432,4.9575009495015684e-11,2.283310645422485e-13
2.05763,5.063998907942916e-11,2.2338191094309402e-13
2.06095,5.039648199609482e-11,2.0301027622874637e-13
2.06425,4.909348843526471e-11,2.036769143940438e-13
2.06756,5.0125385698254094e-11,2.0543564428206337e-13
2.07086,5.056582917381678e-11,2.0845394916000144e-13
2.07415,5.013997100758052e-11,2.0546698812281127e-13
2.07744,5.080314092758002e-11,1.966525259019193e-13
2.08072,5.086585403258811e-11,1.944415720247921e-13
2.08401,5.074728787486341e-11,1.975002643037781e-13
2.08728,5.059513133708992e-11,1.9628647289242213e-13
2.09055,5.178348505388494e-11,1.9736248145888908e-13
2.09382,5.1573349001605445e-11,1.9547045837504717e-13
2.09708,5.080551837223718e-11,1.9102104967691476e-13
2.10034,5.1750855594063847e-11,1.9494542896259843e-13
2.1036,5.200623163305594e-11,1.95864351742931e-13
2.10684,5.158899788221396e-11,1.9184217844832285e-13
2.11009,5.160701776022339e-11,1.927687290489208e-13
2.11333,5.2824429949912957e-11,1.9559183312905486e-13
2.11656,5.270220110565943e-11,1.9494808587292064e-13
