wave,flux,unc
1.02047,6.69E-12,1.57E-13
1.02074,6.71E-12,1.85E-13
1.02101,6.77E-12,2.23E-13
1.02128,6.88E-12,2.59E-13
1.02155,6.91E-12,2.78E-13
1.02182,6.83E-12,2.87E-13
1.02209,6.53E-12,2.84E-13
1.02236,6.92E-12,2.42E-13
1.02263,7.21E-12,2.07E-13
1.0229,7.25E-12,2.23E-13
1.02317,6.81E-12,2.29E-13
1.02344,7.05E-12,2.12E-13
1.02371,7.45E-12,2.07E-13
1.02398,7.75E-12,2.18E-13
1.02425,7.68E-12,2.45E-13
1.02452,7.88E-12,2.66E-13
1.02479,7.79E-12,2.79E-13
1.02506,7.41E-12,3.01E-13
1.02533,7.13E-12,3.32E-13
1.0256,6.90E-12,3.04E-13
1.02587,7.21E-12,2.14E-13
1.02614,7.13E-12,1.56E-13
1.02641,7.31E-12,1.61E-13
1.02668,7.06E-12,1.55E-13
1.02695,7.33E-12,1.83E-13
1.02722,7.19E-12,2.11E-13
1.02748,7.55E-12,1.95E-13
1.02775,7.49E-12,1.81E-13
1.02802,7.69E-12,2.14E-13
1.02829,7.46E-12,2.26E-13
1.02856,7.60E-12,2.18E-13
1.02883,7.34E-12,2.33E-13
1.0291,7.37E-12,2.72E-13
1.02937,7.21E-12,2.86E-13
1.02964,7.15E-12,2.79E-13
1.02991,7.14E-12,2.47E-13
1.03018,7.28E-12,2.04E-13
1.03045,7.40E-12,1.64E-13
1.03072,7.66E-12,1.69E-13
1.03099,7.93E-12,2.29E-13
1.03126,7.86E-12,2.77E-13
1.03153,7.68E-12,2.77E-13
1.0318,7.65E-12,2.55E-13
1.03207,7.62E-12,2.30E-13
1.03234,7.78E-12,2.11E-13
1.03261,7.81E-12,2.07E-13
1.03288,8.05E-12,2.37E-13
1.03315,8.41E-12,2.61E-13
1.03342,8.93E-12,2.75E-13
1.03369,8.57E-12,2.86E-13
1.03396,8.04E-12,2.70E-13
1.03423,8.26E-12,2.52E-13
1.03449,8.74E-12,2.14E-13
1.03476,8.63E-12,2.14E-13
1.03503,7.86E-12,2.62E-13
1.0353,7.66E-12,2.58E-13
1.03557,7.75E-12,2.53E-13
1.03584,8.03E-12,2.76E-13
1.03611,8.21E-12,2.51E-13
1.03638,8.68E-12,2.18E-13
1.03665,9.25E-12,1.94E-13
1.03692,9.54E-12,1.88E-13
1.03719,9.29E-12,2.10E-13
1.03746,8.72E-12,2.40E-13
1.03773,8.24E-12,2.54E-13
1.038,7.98E-12,2.20E-13
1.03827,8.00E-12,1.73E-13
1.03854,7.95E-12,2.04E-13
1.03881,8.25E-12,2.43E-13
1.03908,8.68E-12,2.59E-13
1.03935,8.93E-12,2.97E-13
1.03962,9.00E-12,3.14E-13
1.03989,8.88E-12,2.84E-13
1.04015,8.58E-12,2.54E-13
1.04042,8.69E-12,2.72E-13
1.04069,9.30E-12,2.77E-13
1.04096,8.99E-12,2.41E-13
1.04123,8.41E-12,2.10E-13
1.0415,7.78E-12,2.00E-13
1.04177,8.03E-12,1.87E-13
1.04204,8.09E-12,2.00E-13
1.04231,8.53E-12,2.30E-13
1.04258,8.27E-12,2.74E-13
1.04285,8.43E-12,2.72E-13
1.04312,8.73E-12,2.20E-13
1.04339,9.15E-12,2.04E-13
1.04366,9.27E-12,2.51E-13
1.04393,9.16E-12,2.73E-13
1.0442,9.32E-12,2.54E-13
1.04447,9.39E-12,2.38E-13
1.04474,9.72E-12,2.90E-13
1.045,9.84E-12,3.23E-13
1.04527,9.76E-12,2.84E-13
1.04554,9.68E-12,2.67E-13
1.04581,9.75E-12,2.81E-13
1.04608,9.85E-12,3.06E-13
1.04635,9.70E-12,3.61E-13
1.04662,9.31E-12,3.97E-13
1.04689,8.80E-12,3.75E-13
1.04716,8.41E-12,3.05E-13
1.04743,8.53E-12,2.87E-13
1.0477,8.91E-12,3.08E-13
1.04797,9.51E-12,2.66E-13
1.04824,9.83E-12,2.55E-13
1.04851,9.64E-12,2.90E-13
1.04878,9.29E-12,2.76E-13
1.04905,9.54E-12,2.80E-13
1.04931,9.69E-12,3.22E-13
1.04958,9.88E-12,3.26E-13
1.04985,9.78E-12,3.09E-13
1.05012,1.00E-11,2.90E-13
1.05039,9.75E-12,2.59E-13
1.05066,1.00E-11,2.53E-13
1.05093,9.94E-12,2.51E-13
1.0512,9.85E-12,2.54E-13
1.05147,9.58E-12,3.09E-13
1.05174,9.15E-12,3.67E-13
1.05201,8.77E-12,3.40E-13
1.05228,8.79E-12,2.86E-13
1.05255,9.46E-12,2.84E-13
1.05282,9.85E-12,2.69E-13
1.05309,1.02E-11,2.83E-13
1.05335,1.03E-11,3.03E-13
1.05362,1.03E-11,2.99E-13
1.05389,1.03E-11,2.99E-13
1.05416,1.03E-11,2.84E-13
1.05443,1.04E-11,2.57E-13
1.0547,1.03E-11,2.41E-13
1.05497,1.01E-11,2.59E-13
1.05524,9.71E-12,2.66E-13
1.05551,9.78E-12,2.41E-13
1.05578,9.86E-12,2.29E-13
1.05605,9.43E-12,2.34E-13
1.05632,8.96E-12,2.61E-13
1.05659,9.19E-12,2.74E-13
1.05685,9.51E-12,2.48E-13
1.05712,9.54E-12,2.29E-13
1.05739,9.62E-12,2.19E-13
1.05766,9.94E-12,2.24E-13
1.05793,1.03E-11,2.36E-13
1.0582,1.03E-11,2.33E-13
1.05847,1.03E-11,2.37E-13
1.05874,1.00E-11,2.28E-13
1.05901,1.00E-11,1.86E-13
