WAVELENGTH,SIGNAL,UNCERTAINTY
1.19,0.0,0.0
1.1913400390625,0.0,0.0
1.19267998046875,0.0,0.0
1.19402001953125,0.5719095,0.25054815
1.1953599609375,0.3195909,0.1121341
1.1967,0.18629862,0.06427834
1.1980400390625,0.1146658,0.044852436
1.19937998046875,0.07342371,0.033155028
1.20072001953125,0.122404754,0.026876869
1.2020599609375,0.104964785,0.021453196
1.2034,0.091500334,0.018330157
1.2047400390625,0.12152029,0.016408863
1.20607998046875,0.12302042,0.015094062
1.20742001953125,0.12727512,0.01431089
1.2087599609375,0.13783793,0.01381395
1.2101,0.13882957,0.01354589
1.2114400390625,0.12468228,0.013345565
1.21277998046875,0.12469143,0.013290022
1.21412001953125,0.13712612,0.013353072
1.2154599609375,0.17387868,0.01354961
1.2168,0.18477015,0.013620003
1.2181400390625,0.16928618,0.013622075
1.21947998046875,0.20012857,0.01380649
1.22082001953125,0.1932502,0.01614385
1.2221599609375,0.21718091,0.013878126
1.2235,0.18050681,0.0137193985
1.2248400390625,0.19878937,0.0137624815
1.22617998046875,0.22974217,0.013804041
1.22752001953125,0.2638533,0.016949618
1.2288599609375,0.2793039,0.016324954
1.2302,0.24056597,0.016078329
1.2315400390625,0.23863515,0.016055403
1.23287998046875,0.26088673,0.016058292
1.23422001953125,0.2843495,0.016695974
1.2355599609375,0.25935978,0.01653565
1.2369,0.27981248,0.016215812
1.2382400390625,0.28770566,0.015976818
1.23957998046875,0.2871594,0.015834898
1.24092001953125,0.24764447,0.015625766
1.2422599609375,0.26887554,0.015704926
1.2436,0.26894984,0.01563381
1.2449400390625,0.27866548,0.015575782
1.24627998046875,0.31421536,0.015664466
1.24762001953125,0.33458525,0.015706582
1.2489599609375,0.32037154,0.015557094
1.2503,0.31614983,0.01547978
1.2516400390625,0.3132149,0.01542136
1.25297998046875,0.29029912,0.015272382
1.25432001953125,0.34011048,0.015398626
1.2556599609375,0.35567313,0.015411337
1.257,0.3598781,0.01535708
1.2583400390625,0.3677421,0.015287025
1.25967998046875,0.37140095,0.01900095
1.26102001953125,0.40154558,0.019116497
1.2623599609375,0.38759425,0.01517496
1.2637,0.338535,0.017622909
1.2650400390625,0.3728078,0.015016192
1.26637998046875,0.36828637,0.0153239835
1.26772001953125,0.36527073,0.018695634
1.2690599609375,0.39900106,0.01872327
1.2704,0.3907406,0.01485398
1.2717400390625,0.37843645,0.0147455
1.27307998046875,0.3510414,0.01459358
1.27442001953125,0.3641242,0.014592387
1.2757599609375,0.35119578,0.014490176
1.2771,0.35788035,0.014491906
1.2784400390625,0.3497154,0.0144242225
1.27977998046875,0.30522266,0.0141968485
1.28112001953125,0.32486486,0.014225816
1.2824599609375,0.33824024,0.017846866
1.2838,0.30732596,0.01410488
1.2851400390625,0.29769838,0.016525263
1.28647998046875,0.2958169,0.016436042
1.28782001953125,0.30622208,0.017511884
1.2891599609375,0.31064346,0.01753338
1.2905,0.31377807,0.013932898
1.2918400390625,0.0,0.0
1.29317998046875,0.2636982,0.017141657
1.29452001953125,0.3206829,0.01741861
1.2958599609375,0.26699513,0.017101904
1.2972,0.28832904,0.017210687
1.2985400390625,0.29897144,0.017158536
1.29987998046875,0.29199603,0.01704985
1.30122001953125,0.22542103,0.016691921
1.3025599609375,0.21457417,0.016612709
1.3039,0.27241978,0.01689206
1.3052400390625,0.27585453,0.017943714
1.30657998046875,0.22621903,0.016452424
1.30792001953125,0.22570308,0.0164152
1.3092599609375,0.22902516,0.017403692
1.3106,0.21690464,0.017300373
1.3119400390625,0.18156807,0.016076088
1.31327998046875,0.19486094,0.016074637
1.31462001953125,0.17056242,0.01590331
1.3159599609375,0.15571311,0.015784293
1.3173,0.16932468,0.01581804
1.3186400390625,0.1745377,0.015819753
1.31997998046875,0.17323378,0.015813034
1.32132001953125,0.16698565,0.01574917
1.3226599609375,0.15088384,0.015575683
1.324,0.15309268,0.015580603
1.3253400390625,0.12870665,0.015424127
1.32667998046875,0.11815248,0.015373654
1.32802001953125,0.10817884,0.015414127
1.3293599609375,0.07214759,0.01509473
1.3307,0.043068852,0.0147479605
1.3320400390625,0.03962234,0.014791111
1.33337998046875,0.041236617,0.014815163
1.33472001953125,0.05829124,0.014899651
1.3360599609375,0.055335436,0.014869767
1.3374,0.04657552,0.025197145
1.3387400390625,0.03506536,0.02503259
1.34007998046875,0.06713467,0.0148037225
