wave,flux,unc
0.79414,4.5011788560181935e-15,3.911074837654626e-15
0.80317,1.6625105818310432e-14,3.93818098844535e-15
0.81244,2.0691963131773817e-14,3.941608202913143e-15
0.82195,2.572872213962251e-14,3.984604166236359e-15
0.83173,2.975974948364988e-14,4.068103573269852e-15
0.84177,4.614588498406968e-14,4.154407064867903e-15
0.85208,6.264636482173311e-14,4.3768644403228065e-15
0.86267,9.009835270875208e-14,4.34134603583841e-15
0.87354,1.263707443760628e-13,4.568476885567576e-15
0.8847,1.593935135980029e-13,4.6501069028913645e-15
0.89617,1.930612222697912e-13,4.747315167796028e-15
0.90794,2.641541129298751e-13,5.0180651107516464e-15
0.92002,2.98775210353613e-13,5.0408093522197245e-15
0.93242,3.0047012369041224e-13,5.032397098526051e-15
0.94513,3.578011904375506e-13,5.3374191861595956e-15
0.95818,4.636398045020194e-13,5.544609878985241e-15
0.97154,6.497063936079975e-13,5.97550420707226e-15
0.98524,8.315980123623009e-13,6.612654533130072e-15
0.99927,1.0520613721268522e-12,7.182506829638502e-15
1.0136,1.358641284518484e-12,7.725564540307824e-15
1.0283,1.7424893049112584e-12,8.450887747673391e-15
1.0434,2.1564344996302847e-12,9.210483099716886e-15
1.0587,2.6150269519161003e-12,9.814607540903241e-15
1.0744,2.8609451682278027e-12,1.021309911402204e-14
1.0904,2.4908060057061985e-12,9.397733635639009e-15
1.1067,1.5446455606341384e-12,7.481297618239695e-15
1.1233,9.589657645835398e-13,6.064611783234868e-15
1.1403,8.397921705898416e-13,5.70880460848767e-15
1.1575,8.190731013072769e-13,5.568911945211407e-15
1.1749,1.0779212631111058e-12,6.246877279931112e-15
1.1927,1.821315237670489e-12,7.502172469998067e-15
1.2107,2.9551935660921e-12,9.693408774724028e-15
1.2289,3.8624707052022946e-12,1.0490391920961625e-14
1.2474,4.500867291066577e-12,1.0834982757450593e-14
1.2661,5.397239656870157e-12,1.1815166095239284e-14
1.285,5.818787036408652e-12,1.3547467226232651e-14
1.304,5.098137303317347e-12,1.2549213121250141e-14
1.3233,3.028068608275436e-12,9.993445823131694e-15
1.3426,9.306756669766697e-13,5.937181718023306e-15
1.3622,1.7506211501484754e-13,3.721020217167944e-15
1.3818,1.335336226137494e-13,3.482049899277312e-15
1.4015,1.3852489313866195e-13,3.70263788502251e-15
1.4213,1.6688976633392021e-13,3.869636699089497e-15
1.4412,2.8030252437221073e-13,4.3818494795486865e-15
1.4612,4.848573777071719e-13,5.1782094958830464e-15
1.4812,7.105238721637357e-13,5.9670919533785865e-15
